Customer_ID,account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned
0520df14-712d-4c69-a0c5-95a2e7dfc1ff,46,164.96,12,17,0.243,0.172,0,No,6.1,0.43,5,6.58,9.43,3.7,No
a4013b3f-0688-4096-a194-6074be8ffec8,3,39.09,4,5,0.591,0.0808,1,No,4.1,0.183,4.44,6.25,8.5,6.9,No
eb870f2c-ed3d-4a21-a8ac-273fae69ea4f,29,37.42,8,47,0.212,0.1424,0,No,1.2,0.426,3.87,3.32,8.4,4.3,No
a7433451-8ea9-428a-9d80-679c6963b39f,35,62.64,9,3,0.699,0.0128,0,No,3.8,0.73,4.75,6.42,9.71,7.5,No
43f81935-49e3-44d3-94d1-5c4715738988,39,113.03,1,7,0.382,0.0232,0,No,5.4,0.613,5,6.48,9.92,5,No
a6a161bd-0ccb-4f23-9988-38b3b6202787,18,62.28,5,13,0.565,0.0544,2,No,0,0.68,3.3,4.52,6.79,6.6,No
69101cd5-f8ca-46ef-ac5c-ed2fe09c7e80,20,25.01,6,9,0.225,0.0528,1,No,1.1,0.492,4.51,5.12,8.67,4.4,No
074b9fbf-6061-479d-be11-89c1a3b07c47,43,50.97,11,116,0.095,0.0296,1,No,5.8,0.314,3.99,2.3,8.22,3.4,Yes
dcf6c2a1-e843-4633-bf47-8e3c0fb7478d,60,164.73,31,1,0.19,0.0048,0,No,1.9,0.551,3.33,6.62,8.31,3.3,No
eb449e04-d4d8-4536-ae59-bd4c638a6365,58,65.91,15,4,0.341,0.0288,1,No,2.3,0.383,2.82,6.07,7.06,5,No
6d37b345-96fc-4ca6-ae21-58c44209afe0,23,117.67,6,7,0.109,0.0256,0,No,4.1,0.748,3.58,6.22,8.49,3.1,No
7f721f51-1ac4-4ea1-bd8d-a085535157a9,34,60.3,1,86,0.446,0.016,2,No,4.3,0.886,3.6,2.17,7.21,5.8,Yes
0662c919-6ef3-4317-bde3-011565c9ea46,33,56.52,1,4,0.178,0.0456,0,Yes,6.3,0.343,4.28,6.93,9.13,3.9,No
b96e4f1b-3005-46ea-b85c-9881af42992d,50,102.46,26,33,0.199,0.052,0,No,5.4,0.158,4.15,6.02,8.98,3.8,No
5ce0be3e-c24d-4e78-a6e4-cf0366a5cdcc,48,52.29,1,46,0.195,0.0096,0,No,0.3,0.951,3.17,2.83,8.14,4.1,No
36ca896c-af41-45d0-8b15-9bb7b69f5deb,10,48.47,1,46,0.146,0.1008,1,No,3.5,0.469,3.53,3.9,7.53,3.7,No
85d69498-7277-41fd-98bc-58c51b49ba2c,33,124.55,1,89,0.149,0.028,2,No,2.1,0.589,3.83,1.28,7.4,3.3,Yes
783d30e6-e01a-46d5-8994-ec299d6798a7,47,84.6,1,71,0.308,0.0136,0,No,2.4,0.778,3.74,2.28,8.69,4.6,Yes
c4053e40-3e23-42bd-a066-c80e946e918c,33,77.63,17,85,0.235,0.0008,1,Yes,2.9,0.599,3.16,2.28,7.49,4.2,Yes
616bb2c7-7e82-46c9-8e10-bed9fe444a45,48,98.26,25,20,0.133,0.1912,1,No,1.1,0.708,4.86,5.2,8.56,3.3,No
c5c52516-e767-4034-b180-a2e12b6733f8,26,171.12,7,5,0.277,0.0536,2,No,4.2,0.646,4.53,6.38,8.02,3.9,No
f7b88739-6e00-40c5-84b9-d664cd030351,20,52.05,1,22,0.146,0.14,1,No,2.6,0.37,4.11,4.8,7.98,3.7,No
a0838aad-4bc1-457c-b7be-036c39b887a2,15,111.27,4,33,0.19,0.12,1,No,3,0.324,4.94,4.48,8.87,3.7,No
b47e2623-e675-44c2-8d88-f1d52f4dba4a,37,49.54,19,66,0.648,0.188,0,No,2.6,0.42,5,3.2,9.37,7.2,Yes
9a2bc455-d0f2-454a-ae39-50550d448fc8,33,208.56,1,45,0.397,0.0632,0,No,3.9,0.5,4.49,4.08,9.28,4.5,No
ca255891-17d6-45d2-900d-60589868c504,17,74.25,1,76,0.41,0.0496,2,No,0.3,0.809,3.42,1.33,6.92,5.4,Yes
a49ed04a-0b43-44a5-8f1b-11db61b11f2a,5,106.94,1,94,0.405,0.0104,1,No,3.4,0.759,4.12,1.47,8.42,5.2,Yes
1b68917a-971e-4978-b60e-46ed6d97f12a,50,81.62,26,15,0.307,0.1152,3,No,4.6,0.692,3.43,6.65,6.05,4.7,No
d87b7c7b-7f52-4aae-b224-286f333c0940,56,58.56,15,8,0.396,0.0296,0,Yes,4.3,0.667,4.65,6.53,9.55,5.4,No
94113089-13e1-4d04-a2c7-4f58ac0773ad,4,202.1,2,8,0.13,0.032,0,No,3.1,0.493,3.16,5.7,8.05,2.7,No
3d06369f-98e5-4801-87f1-77fb939b9531,3,38.33,1,31,0.341,0.0736,0,No,6.2,0.668,3.98,5.55,8.73,5.2,No
805b40ff-2f92-485a-8d0c-d9f0254d942a,21,55.92,6,23,0.1,0.124,0,No,4.8,0.633,3.5,5.65,8.09,3.4,No
99730612-4573-4faf-a922-6b9a90daf6ba,40,308.43,31,5,0.267,0.0928,0,No,1.3,0.136,4.56,6.22,9.25,3,No
a3f58f32-cb3a-4475-aa5d-c37a5811a6ef,3,45.29,1,28,0.152,0.1048,3,No,3.7,0.536,4.47,4.87,7.12,3.8,No
